timestamp,action,token,amount,price,value_usd,pnl_usd,fees_usd
2025-06-14T12:51:30,buy,USDC,23631.700429,1.047322,24750.0,0.0,74.25
2025-06-14T17:56:55,buy,zGh48J...,704070.337198,0.004218,2970.0,0.0,8.91
2025-06-14T17:56:57,buy,zGh48J...,695181.034118,0.004272,2970.0,0.0,8.91
2025-06-14T17:56:59,buy,zGh48J...,682070.713625,0.004354,2970.0,0.0,8.91
2025-06-14T17:57:02,buy,zGh48J...,677121.528373,0.004386,2970.0,0.0,8.91
2025-06-14T17:57:39,buy,zGh48J...,689251.760821,0.004309,2970.0,0.0,8.91
2025-06-14T18:20:15,sell,zGh48J...,861923.843533,0.004111,3543.45,-100.94,10.63
2025-06-14T18:34:44,buy,zGh48J...,696490.63833,0.004264,2970.0,0.0,8.91
2025-06-14T19:25:07,sell,zGh48J...,1641131.084466,0.003262,5353.77,-1761.64,16.06
2025-06-14T19:25:14,sell,zGh48J...,1641131.084466,0.003219,5283.36,-1776.83,15.85
2025-06-14T22:34:52,buy,8NNXWr...,201076.863101,0.01477,2970.0,0.0,8.91
2025-06-14T22:35:18,buy,8NNXWr...,396109.741776,0.014996,5940.0,0.0,17.82
2025-06-14T23:28:32,sell,8NNXWr...,59718.660487,0.016391,978.87,96.8,2.94
2025-06-14T23:33:16,sell,8NNXWr...,53746.794439,0.016249,873.34,79.47,2.62
2025-06-14T23:33:55,buy,DtR4D9...,15956.57849,0.18613,2970.0,0.0,8.91
2025-06-15T00:08:47,sell,8NNXWr...,483721.149951,0.015754,7620.47,386.41,22.86
2025-06-15T00:09:14,sell,DtR4D9...,15956.57849,0.196092,3128.95,158.95,9.39
2025-06-15T02:57:23,buy,6sSLWf...,2320296.101336,0.00032,742.5,0.0,2.23
2025-06-15T10:06:02,sell,6sSLWf...,2320296.101336,0.000288,668.68,-73.82,2.01
2025-06-16T13:12:31,buy,USDC,779.949145,0.951985,742.5,0.0,2.23
2025-06-16T13:16:54,buy,USDC,3112.168767,0.954318,2970.0,0.0,8.91
2025-06-16T13:17:27,buy,USDC,3109.540146,0.955125,2970.0,0.0,8.91
2025-06-16T13:18:10,buy,USDC,3119.889575,0.951957,2970.0,0.0,8.91
2025-06-16T13:18:11,buy,USDC,3116.75556,0.952914,2970.0,0.0,8.91
2025-06-16T13:19:59,buy,USDC,780.807004,0.950939,742.5,0.0,2.23
2025-06-16T13:24:21,sell,USDC,11257.794832,0.948287,10675.62,-1114.92,32.03
2025-06-16T17:13:10,buy,USDC,155.554369,0.95465,148.5,0.0,0.45
2025-06-16T17:13:49,sell,USDC,153.705954,0.949738,145.98,-15.0,0.44
2025-06-17T09:24:32,buy,USDC,295.799021,1.00406,297.0,0.0,0.89
2025-06-18T15:21:27,sell,USDC,228.71336,1.028397,235.21,-4.33,0.71
2025-06-21T19:56:01,buy,JB2wez...,24992.646781,0.029709,742.5,0.0,2.23
2025-06-27T15:56:27,buy,USDC,701.824877,1.057956,742.5,0.0,2.23
2025-06-27T18:50:49,sell,USDC,385.57978,1.048187,404.16,0.33,1.21
2025-06-27T19:06:17,buy,USDC,282.003398,1.053179,297.0,0.0,0.89
2025-06-27T19:31:44,sell,USDC,207.197844,1.051152,217.8,0.79,0.65
2025-06-27T23:05:25,buy,USDC,282.971316,1.049576,297.0,0.0,0.89
2025-06-28T11:57:02,sell,USDC,11.206871,1.016005,11.39,-0.35,0.03
