wallet,chain,block,tx_hash,tx_index,tx_type,timestamp,dex,dex_icon_link,from,to,token0_address,token0_amount,token0_amount_usd,token0_name,token0_price_usd,token0_symbol,token1_address,token1_amount,token1_amount_usd,token1_name,token1_price_usd,token1_symbol,first_interaction,token0_chart_link,token1_chart_link,main_token_symbol,main_token_address,main_token_price_usd,amount,amount_usd,contract_address,from_label,name,symbol,to_label,token_price_usd,type,chart_link,token2_address,token2_amount,token2_amount_usd,token2_name,token2_price_usd,token2_symbol,token3_address,token3_amount,token3_amount_usd,token3_name,token3_price_usd,token3_symbol,lower_bound,upper_bound,token2_chart_link,contract_label,function_name,function_sign_hash,message
3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,solana,349787167,5g5rkbqii8rkHfgC8CWLDB2bBzKeoXcqmjyFbMvxUW9xXEEHnFc1QRqiG9eEcxdmLk6XgjVpJRnwYqqbWZKg3eBP,0,swap,2025-06-28T15:57:02Z,Photon,,3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,2GaUUmQFCHSMLRMySzjvdqwLCcGVdUpcsQDanpjwmoon,1986656.546333,11.493485,lub,0.000006,lub,So11111111111111111111111111111111111111112,0.077850,11.493485,Wrapped SOL,147.636487,SOL,true,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,solana,349670658,4EeVbfsnYj9p9T4kwPJDKu2qi1PF9ixrFAgvs5kwZqBnssEUs1hpNBcfCV5iq3ZkzuZJo1Re3sWaanQRvMbb9fR,0,swap,2025-06-28T03:05:25Z,Photon,,3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,So11111111111111111111111111111111111111112,1.980000,282.999734,Wrapped SOL,142.929159,SOL,2GaUUmQFCHSMLRMySzjvdqwLCcGVdUpcsQDanpjwmoon,1986656.546333,282.999734,lub,0.000142,lub,false,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,solana,349638276,2YQi9Dp4fW9vCuRgfUMQt5smTduQuSsg2ieeJno3XuejSabYWr9E2eWm9qFSQRgX9mWyQ7CrGQKk9HLoq27GQMfP,0,swap,2025-06-27T23:31:44Z,Photon,,3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,B969SkrvfafaAD2Q5bHc23zRCEBFWtF2VhKCd2GHmoon,1367512.598399,207.715684,Dollar Coin,0.000152,DOLLAR,So11111111111111111111111111111111111111112,1.455511,207.715684,Wrapped SOL,142.709759,SOL,false,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,solana,349634414,4TwWWRDtWvrSRhkxkDGTtgaHyqYfUnDbMX7W22g7CVVxJBKETz9DY98WtjsSSJ4pY2sivgJjC5FdxQ5sdSigo6XD,0,swap,2025-06-27T23:06:17Z,Photon,,3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,So11111111111111111111111111111111111111112,1.980000,282.031788,Wrapped SOL,142.440297,SOL,B969SkrvfafaAD2Q5bHc23zRCEBFWtF2VhKCd2GHmoon,1367512.598399,282.031788,Dollar Coin,0.000206,DOLLAR,false,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,solana,349392996,2PrmgVSsAQy51FNBK7P9fopcgwfojijXhEGkgjKoA9msNo89Xn4iznXEQw1LSxvv1TMqzUs5ckZBfyoWib59Eo3T,0,transfer,2025-06-26T20:22:11Z,,,EMPF9BuzXNVh6CUimU7AU5nWasCcDtBYN3eMuZxYtYUn,3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,,,,,,,,,,,,,,,,,,,741.905148,13.951956,AfxjNJFbYkvq6P1RkdLLBDgKUjsArgD4ij8VzoJSB7xH,EMPF...tYUn,Collaetrize,$CLOLAT,3JoV...gkr2,0.000000,ERC20,,,,,,,,,,,,,,,,,,,,
3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,solana,347947759,5VcFLX7ijuYNntTvSUnxuhPaPcP6iwav3ycpayYgEDAnbfzciKVAPs51RL9zQACmBr3NDZB7Atxxufj8GDbjnMkL,0,swap,2025-06-20T03:03:31Z,Meteora,,3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,Etd4QU7PGuzh4ozkzzBBjMmySNkU21BZamB7qPR1xBLV,350402.483900,631.849333,Yourself,0.001803,YOURSELF,So11111111111111111111111111111111111111112,4.296833,631.849333,Wrapped SOL,147.050000,SOL,false,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,solana,347926385,3FJL4DGVu6pZWBtnPbY1zrTsYeXgwBYoW3CHkf5fFmxeeTzUmngrfpmu9h5QosxbbZ7RzsvTBrvexneZuzJX3fH3,0,swap,2025-06-20T00:40:22Z,Meteora,,3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,So11111111111111111111111111111111111111112,1.980000,291.159000,Wrapped SOL,147.050000,SOL,Etd4QU7PGuzh4ozkzzBBjMmySNkU21BZamB7qPR1xBLV,350402.483900,291.159000,Yourself,0.000831,YOURSELF,false,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,solana,347915463,3aCoY3uieSDNtEf1RXgMM83hsfo7MhPUe7J2kCzqMyzSatbRfmBR4khy11pJzoMEwJ7vhLRQ5LjCDFxEeP7oC7XB,0,swap,2025-06-19T23:27:05Z,Meteora,,3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,qTNw7ueCsvxLWejrgp2fU53XcQNxhh68gDDvzoFvBLV,779753.414678,230.776494,Mochi Circle,0.000296,MOCHI,So11111111111111111111111111111111111111112,1.575804,230.776494,Wrapped SOL,146.450000,SOL,false,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,solana,347908062,4Scs614uL7bt1EAL5HzXo5TNEAdfgfF5PFnS1zPg2Xdm364SqXf5fXyseQoYscZZNBNgsHdom2Df1jDVP5BeswYA,0,swap,2025-06-19T22:37:43Z,Meteora,,3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,So11111111111111111111111111111111111111112,1.980000,289.971000,Wrapped SOL,146.450000,SOL,qTNw7ueCsvxLWejrgp2fU53XcQNxhh68gDDvzoFvBLV,779753.414678,289.971000,Mochi Circle,0.000372,MOCHI,false,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,solana,347764372,2uBhmjvYbffVjFQKVEXbzXyFfFMSWGkwxFGFz2sNsCkeLrjnfyAr2qCaWFBoDaibamqvcGSEoJ5XNK8J8bpY4VUp,0,swap,2025-06-19T06:36:19Z,PumpFun,,3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,B91Nyc6SnWqr5DRR34eEMKuZrWh4zBhW9VhX4UNLpump,561218.676075,317.485540,Chicken Jockey,0.000566,jockey,So11111111111111111111111111111111111111112,2.201677,322.435539,Wrapped SOL,146.450000,SOL,false,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
